model,parameter_name,parameter,metric_name,metric
Boost1,loss,exponential,time,0.0447664260864257
Boost1,learning_rate,0.1,time,0.0447664260864257
Boost1,n_estimators,10,time,0.0447664260864257
Boost2,loss,exponential,time,0.0276305675506591
Boost2,learning_rate,0.1,time,0.0276305675506591
Boost2,n_estimators,10,time,0.0276305675506591
DecisionTree1,crit,gini,time,0.0009934902191162
DecisionTree1,split,random,time,0.0009934902191162
DecisionTree1,depth,2,time,0.0009934902191162
DecisionTree2,crit,gini,time,0.0
DecisionTree2,split,random,time,0.0
DecisionTree2,depth,2,time,0.0
KNN1,neighbors,8,time,0.0
KNN1,algorithm,brute,time,0.0
KNN1,metric,euclidean,time,0.0
KNN2,neighbors,1,time,0.0
KNN2,algorithm,brute,time,0.0
KNN2,metric,euclidean,time,0.0
MLP1,activation,identity,time,0.1399445533752441
MLP1,solver,adam,time,0.1399445533752441
MLP1,layers,10,time,0.1399445533752441
MLP1,iterations,550,time,0.1399445533752441
MLP2,activation,logistic,time,0.0319991111755371
MLP2,solver,sgd,time,0.0319991111755371
MLP2,layers,2,time,0.0319991111755371
MLP2,iterations,400,time,0.0319991111755371
SVM1,kernel,poly,time,0.1270022392272949
SVM1,probability,False,time,0.1270022392272949
SVM2,kernel,poly,time,0.1270022392272949
SVM2,probability,False,time,0.1270022392272949
Boost21,loss,exponential,time,0.0069096088409423
Boost21,learning_rate,1.5,time,0.0069096088409423
Boost21,n_estimators,1,time,0.0069096088409423
Boost22,loss,exponential,time,0.0069096088409423
Boost22,learning_rate,1.5,time,0.0069096088409423
Boost22,n_estimators,1,time,0.0069096088409423
Boost1,loss,log_loss,accuracy,0.8726067746686303
Boost1,learning_rate,0.1,accuracy,0.8726067746686303
Boost1,n_estimators,75,accuracy,0.8726067746686303
Boost2,loss,exponential,accuracy,0.7926380368098159
Boost2,learning_rate,0.1,accuracy,0.7926380368098159
Boost2,n_estimators,250,accuracy,0.7926380368098159
DecisionTree1,crit,gini,accuracy,0.8402061855670103
DecisionTree1,split,best,accuracy,0.8402061855670103
DecisionTree1,depth,6,accuracy,0.8402061855670103
DecisionTree2,crit,entropy,accuracy,0.7705521472392638
DecisionTree2,split,best,accuracy,0.7705521472392638
DecisionTree2,depth,6,accuracy,0.7705521472392638
KNN1,neighbors,11,accuracy,0.7879234167893961
KNN1,algorithm,ball_tree,accuracy,0.7879234167893961
KNN1,metric,manhattan,accuracy,0.7879234167893961
KNN2,neighbors,50,accuracy,0.7656441717791411
KNN2,algorithm,ball_tree,accuracy,0.7656441717791411
KNN2,metric,euclidean,accuracy,0.7656441717791411
MLP1,activation,logistic,accuracy,0.8630338733431517
MLP1,solver,adam,accuracy,0.8630338733431517
MLP1,layers,8,accuracy,0.8630338733431517
MLP1,iterations,450,accuracy,0.8630338733431517
MLP2,activation,relu,accuracy,0.7950920245398773
MLP2,solver,adam,accuracy,0.7950920245398773
MLP2,layers,10,accuracy,0.7950920245398773
MLP2,iterations,350,accuracy,0.7950920245398773
SVM1,kernel,poly,accuracy,0.7717791411042945
SVM1,probability,True,accuracy,0.7717791411042945
SVM2,kernel,poly,accuracy,0.7717791411042945
SVM2,probability,True,accuracy,0.7717791411042945
Boost21,loss,log_loss,accuracy,0.8726067746686303
Boost21,learning_rate,0.1,accuracy,0.8726067746686303
Boost21,n_estimators,46,accuracy,0.8726067746686303
Boost22,loss,log_loss,accuracy,0.8726067746686303
Boost22,learning_rate,0.1,accuracy,0.8726067746686303
Boost22,n_estimators,46,accuracy,0.8726067746686303
Boost1,loss,log_loss,recall,0.9784172661870504
Boost1,learning_rate,3.0,recall,0.9784172661870504
Boost1,n_estimators,10,recall,0.9784172661870504
Boost2,loss,exponential,recall,0.7890818858560794
Boost2,learning_rate,0.5,recall,0.7890818858560794
Boost2,n_estimators,100,recall,0.7890818858560794
DecisionTree1,crit,gini,recall,0.8949640287769784
DecisionTree1,split,random,recall,0.8949640287769784
DecisionTree1,depth,1,recall,0.8949640287769784
DecisionTree2,crit,gini,recall,0.8486352357320099
DecisionTree2,split,random,recall,0.8486352357320099
DecisionTree2,depth,1,recall,0.8486352357320099
KNN1,neighbors,7,recall,0.7568345323741007
KNN1,algorithm,ball_tree,recall,0.7568345323741007
KNN1,metric,euclidean,recall,0.7568345323741007
KNN2,neighbors,15,recall,0.7468982630272953
KNN2,algorithm,ball_tree,recall,0.7468982630272953
KNN2,metric,euclidean,recall,0.7468982630272953
MLP1,activation,relu,recall,0.8762589928057554
MLP1,solver,adam,recall,0.8762589928057554
MLP1,layers,2,recall,0.8762589928057554
MLP1,iterations,700,recall,0.8762589928057554
MLP2,activation,logistic,recall,1.0
MLP2,solver,sgd,recall,1.0
MLP2,layers,2,recall,1.0
MLP2,iterations,550,recall,1.0
SVM1,kernel,poly,recall,0.7642679900744417
SVM1,probability,True,recall,0.7642679900744417
SVM2,kernel,poly,recall,0.7642679900744417
SVM2,probability,True,recall,0.7642679900744417
Boost21,loss,log_loss,recall,0.9798561151079136
Boost21,learning_rate,2.0,recall,0.9798561151079136
Boost21,n_estimators,31,recall,0.9798561151079136
Boost22,loss,log_loss,recall,0.9798561151079136
Boost22,learning_rate,2.0,recall,0.9798561151079136
Boost22,n_estimators,31,recall,0.9798561151079136
Boost1,loss,log_loss,precision,0.871244635193133
Boost1,learning_rate,0.1,precision,0.871244635193133
Boost1,n_estimators,50,precision,0.871244635193133
Boost2,loss,exponential,precision,0.7939698492462312
Boost2,learning_rate,0.1,precision,0.7939698492462312
Boost2,n_estimators,250,precision,0.7939698492462312
DecisionTree1,crit,gini,precision,0.8826530612244898
DecisionTree1,split,best,precision,0.8826530612244898
DecisionTree1,depth,4,precision,0.8826530612244898
DecisionTree2,crit,gini,precision,0.8171206225680934
DecisionTree2,split,best,precision,0.8171206225680934
DecisionTree2,depth,2,precision,0.8171206225680934
KNN1,neighbors,2,precision,0.8531317494600432
KNN1,algorithm,ball_tree,precision,0.8531317494600432
KNN1,metric,euclidean,precision,0.8531317494600432
KNN2,neighbors,4,precision,0.7841269841269841
KNN2,algorithm,ball_tree,precision,0.7841269841269841
KNN2,metric,euclidean,precision,0.7841269841269841
MLP1,activation,logistic,precision,0.8651362984218077
MLP1,solver,adam,precision,0.8651362984218077
MLP1,layers,10,precision,0.8651362984218077
MLP1,iterations,650,precision,0.8651362984218077
MLP2,activation,logistic,precision,0.85
MLP2,solver,sgd,precision,0.85
MLP2,layers,2,precision,0.85
MLP2,iterations,400,precision,0.85
SVM1,kernel,poly,precision,0.7719298245614035
SVM1,probability,True,precision,0.7719298245614035
SVM2,kernel,poly,precision,0.7719298245614035
SVM2,probability,True,precision,0.7719298245614035
Boost21,loss,log_loss,precision,0.8715890850722311
Boost21,learning_rate,0.1,precision,0.8715890850722311
Boost21,n_estimators,6,precision,0.8715890850722311
Boost22,loss,log_loss,precision,0.8715890850722311
Boost22,learning_rate,0.1,precision,0.8715890850722311
Boost22,n_estimators,6,precision,0.8715890850722311
