crit,split,depth,time,accuracy,precision,recall
gini,best,1,0.0039882659912109375,0.794,0.0,0.0
gini,best,2,0.0049817562103271484,0.8255,0.5826771653543307,0.5388349514563107
gini,best,4,0.008960485458374023,0.8465,0.7511961722488039,0.38106796116504854
gini,best,6,0.012040138244628906,0.8515,0.7346938775510204,0.4368932038834951
gini,best,8,0.014948129653930664,0.854,0.7238805970149254,0.470873786407767
gini,best,10,0.018022537231445312,0.842,0.6548387096774193,0.49271844660194175
gini,best,12,0.019927263259887695,0.8285,0.6088328075709779,0.4684466019417476
gini,best,14,0.0228426456451416,0.8165,0.5596816976127321,0.5121359223300971
gini,best,16,0.023918628692626953,0.804,0.5238095238095238,0.5339805825242718
gini,best,18,0.022922515869140625,0.799,0.511520737327189,0.5388349514563107
gini,best,20,0.023919343948364258,0.7985,0.5099778270509978,0.558252427184466
gini,best,22,0.02391982078552246,0.7895,0.49002217294900224,0.5364077669902912
gini,best,24,0.026909351348876953,0.79,0.4911111111111111,0.5364077669902912
gini,best,26,0.025912761688232422,0.789,0.4889380530973451,0.5364077669902912
gini,best,28,0.02491593360900879,0.789,0.4889380530973451,0.5364077669902912
gini,best,30,0.024276018142700195,0.789,0.4889380530973451,0.5364077669902912
gini,random,1,0.0009968280792236328,0.794,0.0,0.0
gini,random,2,0.0009965896606445312,0.8095,0.7719298245614035,0.10679611650485436
gini,random,4,0.001992940902709961,0.821,0.6227272727272727,0.3325242718446602
gini,random,6,0.002989530563354492,0.832,0.8653846153846154,0.21844660194174756
gini,random,8,0.0039861202239990234,0.842,0.6764705882352942,0.44660194174757284
gini,random,10,0.004990577697753906,0.8505,0.7132075471698113,0.4587378640776699
gini,random,12,0.004982471466064453,0.8505,0.6902356902356902,0.4975728155339806
gini,random,14,0.004982709884643555,0.8185,0.5722713864306784,0.470873786407767
gini,random,16,0.00697636604309082,0.8045,0.5271317829457365,0.49514563106796117
gini,random,18,0.00697636604309082,0.809,0.5373134328358209,0.5242718446601942
gini,random,20,0.006975650787353516,0.79,0.49038461538461536,0.49514563106796117
gini,random,22,0.006976127624511719,0.7835,0.4760820045558087,0.5072815533980582
gini,random,24,0.006976127624511719,0.786,0.4818181818181818,0.5145631067961165
gini,random,26,0.006976127624511719,0.7935,0.49887640449438203,0.5388349514563107
gini,random,28,0.007972955703735352,0.7935,0.49887640449438203,0.5388349514563107
gini,random,30,0.007972240447998047,0.7935,0.49887640449438203,0.5388349514563107
entropy,best,1,0.002989530563354492,0.794,0.0,0.0
entropy,best,2,0.004982948303222656,0.819,0.5718390804597702,0.4830097087378641
entropy,best,4,0.009966135025024414,0.8445,0.7537688442211056,0.3640776699029126
entropy,best,6,0.014949560165405273,0.8465,0.6937269372693727,0.4563106796116505
entropy,best,8,0.018935441970825195,0.8495,0.7032967032967034,0.46601941747572817
entropy,best,10,0.022922515869140625,0.846,0.6710526315789473,0.49514563106796117
entropy,best,12,0.024915695190429688,0.8335,0.6246056782334385,0.48058252427184467
entropy,best,14,0.027906417846679688,0.823,0.5873493975903614,0.4733009708737864
entropy,best,16,0.029505491256713867,0.814,0.5515463917525774,0.5194174757281553
entropy,best,18,0.03123641014099121,0.809,0.5375,0.5218446601941747
entropy,best,20,0.03288841247558594,0.7985,0.5108433734939759,0.5145631067961165
entropy,best,22,0.03189826011657715,0.8015,0.5178997613365155,0.5266990291262136
entropy,best,24,0.03189253807067871,0.7965,0.5058275058275058,0.5266990291262136
entropy,best,26,0.03289008140563965,0.7975,0.5081967213114754,0.5266990291262136
entropy,best,28,0.031893253326416016,0.7975,0.5081967213114754,0.5266990291262136
entropy,best,30,0.03189277648925781,0.7975,0.5081967213114754,0.5266990291262136
entropy,random,1,0.0009965896606445312,0.794,0.0,0.0
entropy,random,2,0.0009961128234863281,0.8095,0.7719298245614035,0.10679611650485436
entropy,random,4,0.002990245819091797,0.817,0.6084905660377359,0.3131067961165049
entropy,random,6,0.0039882659912109375,0.8345,0.8857142857142857,0.22572815533980584
entropy,random,8,0.0039861202239990234,0.844,0.6879699248120301,0.4441747572815534
entropy,random,10,0.004975080490112305,0.852,0.7357723577235772,0.4393203883495146
entropy,random,12,0.005988597869873047,0.848,0.6956521739130435,0.46601941747572817
entropy,random,14,0.0069773197174072266,0.833,0.6181818181818182,0.49514563106796117
entropy,random,16,0.006976127624511719,0.8085,0.5370843989769821,0.5097087378640777
entropy,random,18,0.007972240447998047,0.806,0.532967032967033,0.470873786407767
entropy,random,20,0.007974624633789062,0.793,0.49772727272727274,0.5315533980582524
entropy,random,22,0.006984233856201172,0.792,0.4951219512195122,0.49271844660194175
entropy,random,24,0.007964611053466797,0.7965,0.5057471264367817,0.5339805825242718
entropy,random,26,0.007970571517944336,0.79,0.4909090909090909,0.5242718446601942
entropy,random,28,0.007972478866577148,0.79,0.4909090909090909,0.5242718446601942
entropy,random,30,0.0079345703125,0.79,0.4909090909090909,0.5242718446601942
