,activation,solver,layers,iterations,time,accuracy,precision,recall
0,identity,lbfgs,2,200,0.055899858474731445,0.8824644549763033,0.4131147540983607,0.3949843260188088
1,identity,lbfgs,2,250,0.07286882400512695,0.8824644549763033,0.4131147540983607,0.3949843260188088
2,identity,lbfgs,2,300,0.054526567459106445,0.8824644549763033,0.4131147540983607,0.3949843260188088
3,identity,lbfgs,2,350,0.044835805892944336,0.8824644549763033,0.4131147540983607,0.3949843260188088
4,identity,lbfgs,2,400,0.02550196647644043,0.8824644549763033,0.4131147540983607,0.3949843260188088
5,logistic,lbfgs,2,200,0.22313189506530762,0.8824644549763033,0.4131147540983607,0.3949843260188088
6,logistic,lbfgs,2,250,0.2582094669342041,0.8824644549763033,0.4131147540983607,0.3949843260188088
7,logistic,lbfgs,2,300,0.23659467697143555,0.8824644549763033,0.4131147540983607,0.3949843260188088
8,logistic,lbfgs,2,350,0.4069967269897461,0.8824644549763033,0.4131147540983607,0.3949843260188088
9,logistic,lbfgs,2,400,0.2734251022338867,0.8824644549763033,0.4131147540983607,0.3949843260188088
10,tanh,lbfgs,2,200,0.45436787605285645,0.8824644549763033,0.4131147540983607,0.3949843260188088
11,tanh,lbfgs,2,250,0.42610907554626465,0.8824644549763033,0.4131147540983607,0.3949843260188088
12,tanh,lbfgs,2,300,0.42299461364746094,0.8824644549763033,0.4131147540983607,0.3949843260188088
13,tanh,lbfgs,2,350,0.45211291313171387,0.8824644549763033,0.4131147540983607,0.3949843260188088
14,tanh,lbfgs,2,400,0.3647336959838867,0.8824644549763033,0.4131147540983607,0.3949843260188088
15,relu,lbfgs,2,200,0.6355204582214355,0.8824644549763033,0.4131147540983607,0.3949843260188088
16,relu,lbfgs,2,250,0.41126322746276855,0.8824644549763033,0.4131147540983607,0.3949843260188088
17,relu,lbfgs,2,300,0.6240665912628174,0.8824644549763033,0.4131147540983607,0.3949843260188088
18,relu,lbfgs,2,350,0.3002748489379883,0.8824644549763033,0.4131147540983607,0.3949843260188088
19,relu,lbfgs,2,400,0.3450133800506592,0.8824644549763033,0.4131147540983607,0.3949843260188088
