activation,solver,layers,iterations,time,accuracy,precision,recall
identity,sgd,2,200,0.30718445777893066,0.8350515463917526,0.8541353383458646,0.8172661870503597
identity,sgd,2,250,0.3422129154205322,0.841678939617084,0.8603603603603603,0.8244604316546763
identity,sgd,2,300,0.3151233196258545,0.8357879234167894,0.8564954682779456,0.8158273381294964
identity,sgd,2,350,0.3612818717956543,0.8387334315169367,0.8573573573573574,0.8215827338129497
identity,sgd,2,400,0.39096784591674805,0.8424153166421208,0.8605697151424287,0.8258992805755395
identity,sgd,2,450,0.2630045413970947,0.8387334315169367,0.8573573573573574,0.8215827338129497
identity,sgd,2,500,0.22099709510803223,0.8402061855670103,0.8588588588588588,0.823021582733813
identity,sgd,2,550,0.20299625396728516,0.8424153166421208,0.8605697151424287,0.8258992805755395
identity,sgd,2,600,0.2634541988372803,0.8379970544918999,0.859304084720121,0.8172661870503597
identity,sgd,2,650,0.2399740219116211,0.8438880706921944,0.8620689655172413,0.8273381294964028
identity,sgd,2,700,0.30962562561035156,0.8394698085419735,0.8554396423248882,0.8258992805755395
logistic,sgd,2,200,0.5174221992492676,0.833578792341679,0.8547655068078669,0.8129496402877698
logistic,sgd,2,250,0.6860206127166748,0.8321060382916053,0.8532526475037822,0.8115107913669065
logistic,sgd,2,300,0.8744277954101562,0.8438880706921944,0.8577777777777778,0.8330935251798561
logistic,sgd,2,350,0.9746649265289307,0.8460972017673049,0.8584070796460177,0.837410071942446
logistic,sgd,2,400,1.066258192062378,0.8468335787923417,0.8513708513708513,0.8489208633093526
logistic,sgd,2,450,1.060004472732544,0.8438880706921944,0.8556701030927835,0.8359712230215828
logistic,sgd,2,500,1.2775170803070068,0.845360824742268,0.8571428571428571,0.837410071942446
logistic,sgd,2,550,1.2639555931091309,0.8460972017673049,0.8594674556213018,0.8359712230215828
logistic,sgd,2,600,1.0352716445922852,0.8460972017673049,0.8594674556213018,0.8359712230215828
logistic,sgd,2,650,1.2351288795471191,0.8505154639175257,0.8596491228070176,0.8460431654676259
logistic,sgd,2,700,1.4007713794708252,0.8475699558173785,0.8526011560693642,0.8489208633093526
relu,sgd,2,200,0.6029994487762451,0.8460972017673049,0.8471428571428572,0.8532374100719424
relu,sgd,2,250,0.5198483467102051,0.8519882179675994,0.8508522727272727,0.8618705035971223
relu,sgd,2,300,0.7784273624420166,0.8424153166421208,0.8363636363636363,0.860431654676259
relu,sgd,2,350,0.5442652702331543,0.8505154639175257,0.8455056179775281,0.8661870503597122
relu,sgd,2,400,0.7689938545227051,0.8402061855670103,0.8545994065281899,0.8287769784172662
relu,sgd,2,450,0.563079833984375,0.845360824742268,0.8439716312056738,0.8561151079136691
relu,sgd,2,500,0.6780204772949219,0.8475699558173785,0.844632768361582,0.860431654676259
relu,sgd,2,550,0.8160808086395264,0.8424153166421208,0.8584202682563339,0.8287769784172662
relu,sgd,2,600,0.852001428604126,0.8438880706921944,0.8474820143884892,0.8474820143884892
relu,sgd,2,650,0.762462854385376,0.8460972017673049,0.8451704545454546,0.8561151079136691
relu,sgd,2,700,1.195624589920044,0.8402061855670103,0.8599397590361446,0.8215827338129497
identity,adam,2,200,0.14911890029907227,0.841678939617084,0.8592814371257484,0.8258992805755395
identity,adam,2,250,0.25208020210266113,0.841678939617084,0.8582089552238806,0.8273381294964028
identity,adam,2,300,0.21399474143981934,0.8446244477172312,0.8622754491017964,0.8287769784172662
identity,adam,2,350,0.18192052841186523,0.8446244477172312,0.8622754491017964,0.8287769784172662
identity,adam,2,400,0.22959518432617188,0.8438880706921944,0.8599105812220567,0.8302158273381295
identity,adam,2,450,0.21600008010864258,0.8387334315169367,0.8562874251497006,0.823021582733813
identity,adam,2,500,0.25191593170166016,0.841678939617084,0.8603603603603603,0.8244604316546763
identity,adam,2,550,0.2199993133544922,0.841678939617084,0.8592814371257484,0.8258992805755395
identity,adam,2,600,0.21012473106384277,0.8424153166421208,0.85949177877429,0.8273381294964028
identity,adam,2,650,0.2609422206878662,0.8424153166421208,0.8605697151424287,0.8258992805755395
identity,adam,2,700,0.21706533432006836,0.8402061855670103,0.8577844311377245,0.8244604316546763
logistic,adam,2,200,0.6023545265197754,0.8497790868924889,0.844319775596073,0.8661870503597122
logistic,adam,2,250,0.6316468715667725,0.8541973490427098,0.8514851485148515,0.8661870503597122
logistic,adam,2,300,0.7860078811645508,0.853460972017673,0.8502824858757062,0.8661870503597122
logistic,adam,2,350,0.695995569229126,0.8541973490427098,0.8534850640113798,0.8633093525179856
logistic,adam,2,400,0.6000087261199951,0.8527245949926362,0.8540772532188842,0.8589928057553957
logistic,adam,2,450,0.6890120506286621,0.8505154639175257,0.8514285714285714,0.8575539568345324
logistic,adam,2,500,0.6970231533050537,0.8549337260677466,0.8547008547008547,0.8633093525179856
logistic,adam,2,550,0.6230120658874512,0.853460972017673,0.8542857142857143,0.860431654676259
logistic,adam,2,600,0.646845817565918,0.8541973490427098,0.8534850640113798,0.8633093525179856
logistic,adam,2,650,0.5751602649688721,0.8483063328424153,0.8381742738589212,0.8719424460431655
logistic,adam,2,700,0.6612434387207031,0.853460972017673,0.8542857142857143,0.860431654676259
relu,adam,2,200,0.6180005073547363,0.8497790868924889,0.8433566433566434,0.8676258992805755
relu,adam,2,250,0.5620005130767822,0.853460972017673,0.8454038997214485,0.8733812949640288
relu,adam,2,300,0.46762943267822266,0.8468335787923417,0.843441466854725,0.860431654676259
relu,adam,2,350,0.6610002517700195,0.8446244477172312,0.8457142857142858,0.8517985611510791
relu,adam,2,400,0.5444183349609375,0.8519882179675994,0.8518518518518519,0.860431654676259
relu,adam,2,450,0.5269174575805664,0.845360824742268,0.8439716312056738,0.8561151079136691
relu,adam,2,500,0.570514440536499,0.8446244477172312,0.8408450704225352,0.8589928057553957
relu,adam,2,550,0.803626537322998,0.8446244477172312,0.8601190476190477,0.8316546762589928
relu,adam,2,600,0.7303123474121094,0.8372606774668631,0.8526785714285714,0.8244604316546763
relu,adam,2,650,0.5050551891326904,0.8490427098674521,0.846045197740113,0.8618705035971223
relu,adam,2,700,0.6499369144439697,0.8571428571428571,0.8493723849372385,0.8762589928057554
identity,sgd,4,200,0.18791961669921875,0.8387334315169367,0.8573573573573574,0.8215827338129497
