,activation,solver,layers,iterations,time,accuracy,precision,recall
0,identity,sgd,2,200,0.28453612327575684,0.8385,0.7013574660633484,0.3762135922330097
1,identity,sgd,2,250,0.3204164505004883,0.8395,0.7116279069767442,0.3713592233009709
2,identity,sgd,2,300,0.2132735252380371,0.839,0.7122641509433962,0.36650485436893204
3,identity,sgd,2,350,0.21922922134399414,0.84,0.7110091743119266,0.3762135922330097
4,identity,sgd,2,400,0.16160058975219727,0.8405,0.7162790697674418,0.3737864077669903
5,identity,sgd,2,450,0.38367652893066406,0.8415,0.7188940092165899,0.3786407766990291
6,identity,sgd,2,500,0.47544026374816895,0.8405,0.7162790697674418,0.3737864077669903
7,identity,sgd,2,550,0.23197579383850098,0.8405,0.7183098591549296,0.3713592233009709
8,identity,sgd,2,600,0.21393465995788574,0.839,0.7083333333333334,0.3713592233009709
9,identity,sgd,2,650,0.23633599281311035,0.8375,0.6986301369863014,0.3713592233009709
10,identity,sgd,2,700,0.16449999809265137,0.8375,0.6986301369863014,0.3713592233009709
11,logistic,sgd,2,200,0.7246243953704834,0.8215,0.7477477477477478,0.20145631067961164
12,logistic,sgd,2,250,0.8964395523071289,0.835,0.7135416666666666,0.3325242718446602
13,logistic,sgd,2,300,1.039069414138794,0.8355,0.7371428571428571,0.3131067961165049
14,logistic,sgd,2,350,1.1041765213012695,0.838,0.7135922330097088,0.3567961165048544
15,logistic,sgd,2,400,0.9475235939025879,0.835,0.705,0.3422330097087379
16,logistic,sgd,2,450,1.001976490020752,0.84,0.7211538461538461,0.3640776699029126
17,logistic,sgd,2,500,1.0119469165802002,0.835,0.7383720930232558,0.308252427184466
18,logistic,sgd,2,550,0.9376382827758789,0.8375,0.7880794701986755,0.28883495145631066
19,logistic,sgd,2,600,1.0124683380126953,0.8345,0.7484662576687117,0.2961165048543689
20,logistic,sgd,2,650,0.7557680606842041,0.834,0.7352941176470589,0.30339805825242716
21,logistic,sgd,2,700,0.9801559448242188,0.8365,0.7575757575757576,0.30339805825242716
22,relu,sgd,2,200,0.6993076801300049,0.845,0.7297297297297297,0.3932038834951456
23,relu,sgd,2,250,0.4008824825286865,0.834,0.6639344262295082,0.3932038834951456
