,schedule,temp,time,precision,accuracy
0,Geom,0.01,2.222459077835083,0.6635859519408502,0.6222385861561119
1,Exp,0.01,2.0604944229125977,0.5951417004048583,0.5957290132547864
2,Arith,0.01,1.9763267040252686,0.7264150943396226,0.7039764359351989
3,Geom,0.03,2.084559917449951,0.6694736842105263,0.6104565537555229
4,Exp,0.03,2.170032262802124,0.4883720930232558,0.4808541973490427
5,Arith,0.03,2.172020196914673,0.5096296296296297,0.5014727540500736
6,Geom,0.05,2.1643126010894775,0.5389221556886228,0.5110456553755522
7,Exp,0.05,2.492892265319824,0.6342592592592593,0.6200294550810015
8,Arith,0.05,2.4719231128692627,0.51775956284153,0.5110456553755522
9,Geom,0.07,2.259194850921631,0.6055979643765903,0.614138438880707
10,Exp,0.07,2.3422303199768066,0.509325681492109,0.5014727540500736
11,Arith,0.07,2.7538297176361084,0.520702634880803,0.5162002945508101
12,Geom,0.09,2.31205153465271,0.6977152899824253,0.6575846833578792
13,Exp,0.09,2.826632261276245,0.6068965517241379,0.6060382916053019
14,Arith,0.09,3.2608389854431152,0.5286624203821656,0.5117820324005891
15,Geom,0.11,2.4115190505981445,0.6007677543186181,0.569219440353461
16,Exp,0.11,2.6905972957611084,0.5866302864938608,0.585419734904271
17,Arith,0.11,2.5133275985717773,0.312210200927357,0.312960235640648
18,Geom,0.13,2.1268093585968018,0.6548295454545454,0.6524300441826215
19,Exp,0.13,2.400174856185913,0.5657237936772047,0.5500736377025037
20,Arith,0.13,2.582943916320801,0.6363636363636364,0.593519882179676
21,Geom,0.15,2.4426119327545166,0.6894736842105263,0.5979381443298969
22,Exp,0.15,2.4329934120178223,0.4263565891472868,0.40795287187039764
23,Arith,0.15,2.5220139026641846,0.5414781297134238,0.53240058910162
24,Geom,0.17,2.6809184551239014,0.4888268156424581,0.4801178203240059
25,Exp,0.17,2.811802387237549,0.5720588235294117,0.5640648011782032
26,Arith,0.17,2.9710960388183594,0.3805031446540881,0.3799705449189985
27,Geom,0.19,2.1925928592681885,0.47451456310679613,0.46097201767304863
28,Exp,0.19,2.3856489658355713,0.48667601683029454,0.47790868924889546
29,Arith,0.19,2.8566741943359375,0.4970873786407767,0.4896907216494845
30,Geom,0.21,2.7694785594940186,0.5884101040118871,0.5795287187039765
31,Exp,0.21,2.8033435344696045,0.5712230215827339,0.56480117820324
32,Arith,0.21,2.583127498626709,0.5533536585365854,0.5434462444771723
