,iteration,score,size,algorithm
0,2.0,4.0,5,Genetic
1,3.0,4.0,5,Genetic
2,4.0,4.0,5,Genetic
3,5.0,4.0,5,Genetic
4,6.0,4.0,5,Genetic
5,7.0,4.0,5,Genetic
6,8.0,4.0,5,Genetic
7,9.0,4.0,5,Genetic
8,10.0,4.0,5,Genetic
9,11.0,4.0,5,Genetic
10,12.0,4.0,5,Genetic
11,14.0,3.0,5,Random Hill Climb
12,15.0,3.0,5,Random Hill Climb
13,16.0,3.0,5,Random Hill Climb
14,17.0,3.0,5,Random Hill Climb
15,18.0,3.0,5,Random Hill Climb
16,19.0,3.0,5,Random Hill Climb
17,20.0,3.0,5,Random Hill Climb
18,21.0,3.0,5,Random Hill Climb
19,22.0,3.0,5,Random Hill Climb
20,23.0,3.0,5,Random Hill Climb
21,24.0,3.0,5,Random Hill Climb
22,2.0,4.0,5,MIMIC
23,3.0,4.0,5,MIMIC
24,4.0,4.0,5,MIMIC
25,5.0,4.0,5,MIMIC
26,6.0,4.0,5,MIMIC
27,7.0,4.0,5,MIMIC
28,8.0,4.0,5,MIMIC
29,9.0,4.0,5,MIMIC
30,10.0,4.0,5,MIMIC
31,11.0,4.0,5,MIMIC
32,12.0,4.0,5,MIMIC
33,2.0,3.0,5,Simulated Annealing
34,4.0,2.0,5,Simulated Annealing
35,6.0,2.0,5,Simulated Annealing
36,8.0,2.0,5,Simulated Annealing
37,10.0,4.0,5,Simulated Annealing
38,12.0,2.0,5,Simulated Annealing
39,14.0,2.0,5,Simulated Annealing
40,16.0,2.0,5,Simulated Annealing
41,17.0,2.0,5,Simulated Annealing
42,19.0,2.0,5,Simulated Annealing
43,21.0,2.0,5,Simulated Annealing
44,22.0,2.0,5,Simulated Annealing
45,24.0,2.0,5,Simulated Annealing
46,26.0,2.0,5,Simulated Annealing
47,28.0,4.0,5,Simulated Annealing
48,29.0,4.0,5,Simulated Annealing
49,31.0,3.0,5,Simulated Annealing
50,32.0,3.0,5,Simulated Annealing
51,34.0,4.0,5,Simulated Annealing
52,35.0,4.0,5,Simulated Annealing
53,36.0,4.0,5,Simulated Annealing
54,37.0,4.0,5,Simulated Annealing
55,39.0,3.0,5,Simulated Annealing
56,41.0,3.0,5,Simulated Annealing
57,43.0,3.0,5,Simulated Annealing
58,44.0,3.0,5,Simulated Annealing
59,46.0,3.0,5,Simulated Annealing
60,48.0,3.0,5,Simulated Annealing
61,49.0,3.0,5,Simulated Annealing
62,51.0,4.0,5,Simulated Annealing
63,52.0,4.0,5,Simulated Annealing
64,53.0,4.0,5,Simulated Annealing
65,54.0,4.0,5,Simulated Annealing
66,56.0,2.0,5,Simulated Annealing
67,58.0,3.0,5,Simulated Annealing
68,59.0,3.0,5,Simulated Annealing
69,60.0,3.0,5,Simulated Annealing
70,61.0,3.0,5,Simulated Annealing
71,63.0,3.0,5,Simulated Annealing
72,65.0,4.0,5,Simulated Annealing
73,67.0,3.0,5,Simulated Annealing
74,68.0,3.0,5,Simulated Annealing
75,70.0,3.0,5,Simulated Annealing
76,72.0,3.0,5,Simulated Annealing
77,74.0,3.0,5,Simulated Annealing
78,76.0,3.0,5,Simulated Annealing
79,78.0,3.0,5,Simulated Annealing
80,80.0,4.0,5,Simulated Annealing
81,81.0,4.0,5,Simulated Annealing
82,82.0,4.0,5,Simulated Annealing
83,83.0,4.0,5,Simulated Annealing
84,84.0,4.0,5,Simulated Annealing
85,85.0,4.0,5,Simulated Annealing
86,86.0,4.0,5,Simulated Annealing
87,87.0,4.0,5,Simulated Annealing
88,89.0,2.0,5,Simulated Annealing
89,90.0,2.0,5,Simulated Annealing
90,92.0,3.0,5,Simulated Annealing
91,93.0,3.0,5,Simulated Annealing
92,94.0,3.0,5,Simulated Annealing
93,95.0,3.0,5,Simulated Annealing
94,96.0,3.0,5,Simulated Annealing
95,98.0,3.0,5,Simulated Annealing
96,100.0,3.0,5,Simulated Annealing
97,102.0,4.0,5,Simulated Annealing
98,104.0,3.0,5,Simulated Annealing
99,105.0,3.0,5,Simulated Annealing
100,106.0,3.0,5,Simulated Annealing
101,107.0,3.0,5,Simulated Annealing
102,108.0,3.0,5,Simulated Annealing
103,110.0,4.0,5,Simulated Annealing
104,111.0,4.0,5,Simulated Annealing
105,112.0,4.0,5,Simulated Annealing
106,113.0,4.0,5,Simulated Annealing
107,114.0,4.0,5,Simulated Annealing
108,115.0,4.0,5,Simulated Annealing
109,116.0,4.0,5,Simulated Annealing
110,117.0,4.0,5,Simulated Annealing
111,118.0,4.0,5,Simulated Annealing
112,119.0,4.0,5,Simulated Annealing
113,120.0,4.0,5,Simulated Annealing
114,2.0,8.0,10,Genetic
115,4.0,9.0,10,Genetic
116,5.0,9.0,10,Genetic
117,6.0,9.0,10,Genetic
118,7.0,9.0,10,Genetic
119,8.0,9.0,10,Genetic
120,9.0,9.0,10,Genetic
121,10.0,9.0,10,Genetic
122,11.0,9.0,10,Genetic
123,12.0,9.0,10,Genetic
124,13.0,9.0,10,Genetic
125,14.0,9.0,10,Genetic
126,15.0,5.0,10,Random Hill Climb
127,16.0,5.0,10,Random Hill Climb
128,18.0,7.0,10,Random Hill Climb
129,19.0,7.0,10,Random Hill Climb
130,21.0,9.0,10,Random Hill Climb
131,22.0,9.0,10,Random Hill Climb
132,23.0,9.0,10,Random Hill Climb
133,24.0,9.0,10,Random Hill Climb
134,25.0,9.0,10,Random Hill Climb
135,26.0,9.0,10,Random Hill Climb
136,27.0,9.0,10,Random Hill Climb
137,28.0,9.0,10,Random Hill Climb
138,29.0,9.0,10,Random Hill Climb
139,30.0,9.0,10,Random Hill Climb
140,31.0,9.0,10,Random Hill Climb
141,2.0,8.0,10,MIMIC
142,4.0,9.0,10,MIMIC
143,5.0,9.0,10,MIMIC
144,6.0,9.0,10,MIMIC
145,7.0,9.0,10,MIMIC
146,8.0,9.0,10,MIMIC
147,9.0,9.0,10,MIMIC
148,10.0,9.0,10,MIMIC
149,11.0,9.0,10,MIMIC
150,12.0,9.0,10,MIMIC
151,13.0,9.0,10,MIMIC
152,14.0,9.0,10,MIMIC
153,2.0,5.0,10,Simulated Annealing
154,4.0,7.0,10,Simulated Annealing
155,6.0,7.0,10,Simulated Annealing
156,7.0,7.0,10,Simulated Annealing
157,9.0,7.0,10,Simulated Annealing
158,11.0,5.0,10,Simulated Annealing
159,13.0,7.0,10,Simulated Annealing
160,15.0,6.0,10,Simulated Annealing
161,17.0,6.0,10,Simulated Annealing
162,18.0,6.0,10,Simulated Annealing
163,20.0,5.0,10,Simulated Annealing
164,22.0,5.0,10,Simulated Annealing
165,24.0,5.0,10,Simulated Annealing
166,25.0,5.0,10,Simulated Annealing
167,26.0,5.0,10,Simulated Annealing
168,28.0,3.0,10,Simulated Annealing
169,30.0,3.0,10,Simulated Annealing
170,32.0,3.0,10,Simulated Annealing
171,34.0,2.0,10,Simulated Annealing
172,36.0,2.0,10,Simulated Annealing
173,38.0,4.0,10,Simulated Annealing
174,40.0,4.0,10,Simulated Annealing
175,42.0,3.0,10,Simulated Annealing
176,44.0,3.0,10,Simulated Annealing
177,46.0,3.0,10,Simulated Annealing
178,48.0,3.0,10,Simulated Annealing
179,50.0,5.0,10,Simulated Annealing
180,52.0,6.0,10,Simulated Annealing
181,53.0,6.0,10,Simulated Annealing
182,55.0,6.0,10,Simulated Annealing
183,57.0,6.0,10,Simulated Annealing
184,58.0,6.0,10,Simulated Annealing
185,59.0,6.0,10,Simulated Annealing
186,60.0,6.0,10,Simulated Annealing
187,62.0,6.0,10,Simulated Annealing
188,64.0,6.0,10,Simulated Annealing
189,66.0,5.0,10,Simulated Annealing
190,68.0,5.0,10,Simulated Annealing
191,70.0,5.0,10,Simulated Annealing
192,72.0,5.0,10,Simulated Annealing
193,74.0,5.0,10,Simulated Annealing
194,75.0,5.0,10,Simulated Annealing
195,77.0,4.0,10,Simulated Annealing
196,79.0,6.0,10,Simulated Annealing
197,81.0,6.0,10,Simulated Annealing
198,83.0,6.0,10,Simulated Annealing
199,84.0,6.0,10,Simulated Annealing
200,86.0,6.0,10,Simulated Annealing
201,88.0,6.0,10,Simulated Annealing
202,90.0,8.0,10,Simulated Annealing
203,91.0,8.0,10,Simulated Annealing
204,92.0,8.0,10,Simulated Annealing
205,93.0,8.0,10,Simulated Annealing
206,94.0,8.0,10,Simulated Annealing
207,96.0,7.0,10,Simulated Annealing
208,97.0,7.0,10,Simulated Annealing
209,98.0,7.0,10,Simulated Annealing
210,99.0,7.0,10,Simulated Annealing
211,100.0,7.0,10,Simulated Annealing
212,101.0,7.0,10,Simulated Annealing
213,102.0,7.0,10,Simulated Annealing
214,103.0,7.0,10,Simulated Annealing
215,105.0,8.0,10,Simulated Annealing
216,107.0,8.0,10,Simulated Annealing
217,108.0,8.0,10,Simulated Annealing
218,110.0,9.0,10,Simulated Annealing
219,111.0,9.0,10,Simulated Annealing
220,112.0,9.0,10,Simulated Annealing
221,113.0,9.0,10,Simulated Annealing
222,114.0,9.0,10,Simulated Annealing
223,115.0,9.0,10,Simulated Annealing
224,116.0,9.0,10,Simulated Annealing
225,117.0,9.0,10,Simulated Annealing
226,119.0,8.0,10,Simulated Annealing
227,120.0,8.0,10,Simulated Annealing
228,121.0,8.0,10,Simulated Annealing
229,122.0,8.0,10,Simulated Annealing
230,124.0,9.0,10,Simulated Annealing
231,125.0,9.0,10,Simulated Annealing
232,126.0,9.0,10,Simulated Annealing
233,127.0,9.0,10,Simulated Annealing
234,128.0,9.0,10,Simulated Annealing
235,129.0,9.0,10,Simulated Annealing
236,130.0,9.0,10,Simulated Annealing
237,131.0,9.0,10,Simulated Annealing
238,132.0,9.0,10,Simulated Annealing
239,133.0,9.0,10,Simulated Annealing
240,134.0,9.0,10,Simulated Annealing
241,2.0,11.0,15,Genetic
242,4.0,12.0,15,Genetic
243,5.0,12.0,15,Genetic
244,6.0,12.0,15,Genetic
245,8.0,13.0,15,Genetic
246,9.0,13.0,15,Genetic
247,11.0,14.0,15,Genetic
248,12.0,14.0,15,Genetic
249,13.0,14.0,15,Genetic
250,14.0,14.0,15,Genetic
251,15.0,14.0,15,Genetic
252,16.0,14.0,15,Genetic
253,17.0,14.0,15,Genetic
254,18.0,14.0,15,Genetic
255,19.0,14.0,15,Genetic
256,20.0,14.0,15,Genetic
257,21.0,14.0,15,Genetic
258,22.0,7.0,15,Random Hill Climb
259,24.0,9.0,15,Random Hill Climb
260,26.0,11.0,15,Random Hill Climb
261,27.0,11.0,15,Random Hill Climb
262,28.0,11.0,15,Random Hill Climb
