,iteration,score,size,algorithm
0,402.0,2535.0981582503855,5,Genetic
1,603.0,2535.0981582503855,5,Genetic
2,804.0,2535.0981582503855,5,Genetic
3,1005.0,2535.0981582503855,5,Genetic
4,1206.0,2535.0981582503855,5,Genetic
5,1407.0,2535.0981582503855,5,Genetic
6,1608.0,2535.0981582503855,5,Genetic
7,1809.0,2535.0981582503855,5,Genetic
8,2010.0,2535.0981582503855,5,Genetic
9,2211.0,2535.0981582503855,5,Genetic
10,2412.0,2535.0981582503855,5,Genetic
11,2414.0,2191.6838432546797,5,Random Hill Climb
12,2416.0,2404.589395900482,5,Random Hill Climb
13,2417.0,2404.589395900482,5,Random Hill Climb
14,2418.0,2404.589395900482,5,Random Hill Climb
15,2419.0,2404.589395900482,5,Random Hill Climb
16,2420.0,2404.589395900482,5,Random Hill Climb
17,2422.0,2405.7141422829222,5,Random Hill Climb
18,2423.0,2405.7141422829222,5,Random Hill Climb
19,2425.0,2535.098158250385,5,Random Hill Climb
20,2426.0,2535.098158250385,5,Random Hill Climb
21,2427.0,2535.098158250385,5,Random Hill Climb
22,2428.0,2535.098158250385,5,Random Hill Climb
23,2429.0,2535.098158250385,5,Random Hill Climb
24,2430.0,2535.098158250385,5,Random Hill Climb
25,2431.0,2535.098158250385,5,Random Hill Climb
26,2432.0,2535.098158250385,5,Random Hill Climb
27,2433.0,2535.098158250385,5,Random Hill Climb
28,2434.0,2535.098158250385,5,Random Hill Climb
29,2435.0,2535.098158250385,5,Random Hill Climb
30,402.0,2535.0981582503855,5,MIMIC
31,603.0,2535.0981582503855,5,MIMIC
32,804.0,2535.0981582503855,5,MIMIC
33,1005.0,2535.0981582503855,5,MIMIC
34,1206.0,2535.0981582503855,5,MIMIC
35,1407.0,2535.0981582503855,5,MIMIC
36,1608.0,2535.0981582503855,5,MIMIC
37,1809.0,2535.0981582503855,5,MIMIC
38,2010.0,2535.0981582503855,5,MIMIC
39,2211.0,2535.0981582503855,5,MIMIC
40,2412.0,2535.0981582503855,5,MIMIC
41,2.0,2191.6838432546797,5,Simulated Annealing
42,4.0,2404.589395900482,5,Simulated Annealing
43,5.0,2404.589395900482,5,Simulated Annealing
44,6.0,2404.589395900482,5,Simulated Annealing
45,8.0,2516.3777044678322,5,Simulated Annealing
46,9.0,2516.3777044678322,5,Simulated Annealing
47,10.0,2516.3777044678322,5,Simulated Annealing
48,11.0,2516.3777044678322,5,Simulated Annealing
49,12.0,2516.3777044678322,5,Simulated Annealing
50,13.0,2516.3777044678322,5,Simulated Annealing
51,14.0,2516.3777044678322,5,Simulated Annealing
52,15.0,2516.3777044678322,5,Simulated Annealing
53,17.0,2535.0981582503855,5,Simulated Annealing
54,18.0,2535.0981582503855,5,Simulated Annealing
